Race and Ethnicity 2
ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2017,2017,119,"Temecula, CA",16000US0678120,temecula-ca,244,0.002203717418399230
3,Asian Alone,0,Not Hispanic or Latino,2017,2017,957,"Temecula, CA",16000US0678120,temecula-ca,9907,0.08947634616426730
3,Asian Alone,1,Hispanic or Latino,2017,2017,148,"Temecula, CA",16000US0678120,temecula-ca,341,0.003079785408500570
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2017,2017,219,"Temecula, CA",16000US0678120,temecula-ca,357,0.0032242914687234700
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2017,2017,102,"Temecula, CA",16000US0678120,temecula-ca,89,0.0008038149599898850
5,Some Other Race Alone,0,Not Hispanic or Latino,2017,2017,160,"Temecula, CA",16000US0678120,temecula-ca,233,0.00210436950199599
5,Some Other Race Alone,1,Hispanic or Latino,2017,2017,1418,"Temecula, CA",16000US0678120,temecula-ca,9041,0.08165495565470280
6,Two or More Races,0,Not Hispanic or Latino,2017,2017,777.280515644127,"Temecula, CA",16000US0678120,temecula-ca,4705,0.04249381333429670
6,Two or More Races,1,Hispanic or Latino,2017,2017,578.6233662755070,"Temecula, CA",16000US0678120,temecula-ca,3097,0.027970954281895200
0,White Alone,0,Not Hispanic or Latino,2016,2016,1931,"Temecula, CA",16000US0678120,temecula-ca,59141,0.5427522598999680
0,White Alone,1,Hispanic or Latino,2016,2016,1450,"Temecula, CA",16000US0678120,temecula-ca,17812,0.16346533290506100
1,Black or African American Alone,0,Not Hispanic or Latino,2016,2016,735,"Temecula, CA",16000US0678120,temecula-ca,4210,0.038636259349332400
1,Black or African American Alone,1,Hispanic or Latino,2016,2016,224,"Temecula, CA",16000US0678120,temecula-ca,370,0.003395585738539900
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2016,2016,349,"Temecula, CA",16000US0678120,temecula-ca,628,0.005763318496765020
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2016,2016,149,"Temecula, CA",16000US0678120,temecula-ca,307,0.0028174184371128300
3,Asian Alone,0,Not Hispanic or Latino,2016,2016,1128,"Temecula, CA",16000US0678120,temecula-ca,11263,0.10336346533290500
3,Asian Alone,1,Hispanic or Latino,2016,2016,185,"Temecula, CA",16000US0678120,temecula-ca,337,0.0030927361996971500
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2016,2016,131,"Temecula, CA",16000US0678120,temecula-ca,221,0.0020281741843711300
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2016,2016,84,"Temecula, CA",16000US0678120,temecula-ca,59,0.0005414582664158220
5,Some Other Race Alone,0,Not Hispanic or Latino,2016,2016,141,"Temecula, CA",16000US0678120,temecula-ca,226,0.002074060478135180
5,Some Other Race Alone,1,Hispanic or Latino,2016,2016,1223,"Temecula, CA",16000US0678120,temecula-ca,6975,0.06401137980085350
6,Two or More Races,0,Not Hispanic or Latino,2016,2016,861.6693101184470,"Temecula, CA",16000US0678120,temecula-ca,4859,0.04459230027990640
6,Two or More Races,1,Hispanic or Latino,2016,2016,527.287397915027,"Temecula, CA",16000US0678120,temecula-ca,2557,0.02346625063093650
0,White Alone,0,Not Hispanic or Latino,2015,2015,1556,"Temecula, CA",16000US0678120,temecula-ca,59652,0.5566992991330150
0,White Alone,1,Hispanic or Latino,2015,2015,1288,"Temecula, CA",16000US0678120,temecula-ca,18343,0.17118512780790100
1,Black or African American Alone,0,Not Hispanic or Latino,2015,2015,564,"Temecula, CA",16000US0678120,temecula-ca,3098,0.028911929670657800
1,Black or African American Alone,1,Hispanic or Latino,2015,2015,360,"Temecula, CA",16000US0678120,temecula-ca,575,0.0053661586703125400
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2015,2015,587,"Temecula, CA",16000US0678120,temecula-ca,1208,0.011273599432587000
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2015,2015,162,"Temecula, CA",16000US0678120,temecula-ca,327,0.00305171110468209
3,Asian Alone,0,Not Hispanic or Latino,2015,2015,1098,"Temecula, CA",16000US0678120,temecula-ca,10822,0.10099577240021300
3,Asian Alone,1,Hispanic or Latino,2015,2015,161,"Temecula, CA",16000US0678120,temecula-ca,262,0.0024451018636902400
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2015,2015,194,"Temecula, CA",16000US0678120,temecula-ca,413,0.0038543017927636200
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2015,2015,44,"Temecula, CA",16000US0678120,temecula-ca,30,0.0002799734958423940
5,Some Other Race Alone,0,Not Hispanic or Latino,2015,2015,185,"Temecula, CA",16000US0678120,temecula-ca,291,0.002715742909671220
5,Some Other Race Alone,1,Hispanic or Latino,2015,2015,1125,"Temecula, CA",16000US0678120,temecula-ca,5372,0.050133920655511300
6,Two or More Races,0,Not Hispanic or Latino,2015,2015,733.9162077512660,"Temecula, CA",16000US0678120,temecula-ca,4423,0.04127742573703020
6,Two or More Races,1,Hispanic or Latino,2015,2015,526.1653732430520,"Temecula, CA",16000US0678120,temecula-ca,2337,0.02180993532612250
0,White Alone,0,Not Hispanic or Latino,2014,2014,1578,"Temecula, CA",16000US0678120,temecula-ca,59679,0.5686151207660430
0,White Alone,1,Hispanic or Latino,2014,2014,1339,"Temecula, CA",16000US0678120,temecula-ca,16659,0.15872516792911200
1,Black or African American Alone,0,Not Hispanic or Latino,2014,2014,555,"Temecula, CA",16000US0678120,temecula-ca,3131,0.029831832690200600
1,Black or African American Alone,1,Hispanic or Latino,2014,2014,244,"Temecula, CA",16000US0678120,temecula-ca,401,0.003820685055499980
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2014,2014,658,"Temecula, CA",16000US0678120,temecula-ca,1372,0.01307226906769570
